Category: All categories,
,
Month,car_market
2007-07,1
2007-08,1
2007-09,0
2007-10,1
2007-11,3
2007-12,2
2008-01,3
2008-02,3
2008-03,6
2008-04,5
2008-05,5
2008-06,3
2008-07,3
2008-08,5
2008-09,7
2008-10,11
2008-11,9
2008-12,10
2009-01,11
2009-02,16
2009-03,21
2009-04,19
2009-05,16
2009-06,17
2009-07,12
2009-08,12
2009-09,16
2009-10,23
2009-11,30
2009-12,46
2010-01,37
2010-02,31
2010-03,30
2010-04,26
2010-05,37
2010-06,32
2010-07,30
2010-08,26
2010-09,27
2010-10,36
2010-11,34
2010-12,30
2011-01,27
2011-02,48
2011-03,33
2011-04,34
2011-05,33
2011-06,21
2011-07,21
2011-08,41
2011-09,61
2011-10,67
2011-11,41
2011-12,39
2012-01,34
2012-02,16
2012-03,22
2012-04,16
2012-05,18
2012-06,15
2012-07,14
2012-08,11
2012-09,13
2012-10,10
2012-11,13
2012-12,9
2013-01,17
2013-02,10
2013-03,11
2013-04,19
2013-05,11
2013-06,11
2013-07,14
2013-08,10
2013-09,11
2013-10,10
2013-11,11
2013-12,12
2014-01,10
2014-02,9
2014-03,10
2014-04,8
2014-05,6
2014-06,6
2014-07,7
2014-08,6
2014-09,7
2014-10,7
2014-11,13
2014-12,7
2015-01,9
2015-02,10
2015-03,8
2015-04,6
2015-05,4
2015-06,5
2015-07,7
2015-08,8
2015-09,7
2015-10,9
2015-11,9
2015-12,8
2016-01,5
2016-02,13
2016-03,27
2016-04,32
2016-05,27
2016-06,22
2016-07,32
2016-08,30
2016-09,19
2016-10,44
2016-11,100
2016-12,31
2017-01,25
2017-02,65
2017-03,28
2017-04,16
2017-05,12
2017-06,13
2017-07,25
2017-08,14
2017-09,13
2017-10,11
2017-11,12
2017-12,18
2018-01,15
2018-02,12
2018-03,10
2018-04,10
2018-05,11
2018-06,10
2018-07,16
2018-08,33
2018-09,18
2018-10,18
2018-11,19
2018-12,22
2019-01,23
2019-02,21
2019-03,24
2019-04,16
2019-05,20
2019-06,24
2019-07,24
2019-08,40
2019-09,40
2019-10,28
2019-11,23
2019-12,23
2020-01,32
2020-02,26
2020-03,40
2020-04,30
2020-05,22
2020-06,27
2020-07,35
2020-08,63
2020-09,41
2020-10,32
2020-11,39
2020-12,41
2021-01,41
2021-02,43
2021-03,60
2021-04,33
2021-05,32
2021-06,38
2021-07,30
2021-08,29
2021-09,28
